,size,Group,Verse text
1P 3:18,1,Nový zákon,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
R 4:21,1,Nový zákon,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
J 14:23,1,Evangelia,"Ježíš mu odpověděl: „Miluje-li kdo mne, slovo mé zachovávati bude, a Otec můj bude ho milovati, i přijdeme k němu a příbytek u něho si učiníme."
Da 3:26,1,Starý zákon,"„Požehnaný jsi, Pane Bože otců našich, a chvályhodné i slavné jest jméno tvé na věky,"
L 3:6,1,Evangelia,a uzři všeliké tělo spaní Boží.
J 13:1,1,Evangelia,"Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval."
L 16:29,1,Evangelia,"Ale Abraham řekl jemu: ,Mají Mojžíše a proroky, těch ať poslouchají.‘"
Mt 13:25,1,Evangelia,"a když lidé spali, přišel jeho nepřítel, nasel koukole mezi pšenici a odešel."
Mt 9:18,1,Evangelia,"Když k nim ještě mluvil, hle, přišel jeden z předních mužů, poklonil se mu a řekl: „Má dcera právě zemřela; přijď, vlož na ni ruku, a bude živa.“ "
Mk 10:9,1,Evangelia,"Nuže, co Bůh spojil, člověk nerozlučuj.“"
Gn 3:5,1,Starý zákon,"Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé."
J 14:6,1,Evangelia,Ježíš řekl jemu: „Já jsem cesta a pravda a život; nikdo nepřichází k Otci leč jen skrze mne.
Sk 13:6,1,Nový zákon,"A když zchodili ten ostrov až do Páfu, nalezli jakéhos čarodějníka, falešného proroka Žida, jemuž jméno Barjezus,"
Mt 19:17,1,Evangelia,"On pak řekl jemu: „Co se mě ptáš o dobrém? Jediný jest dobrý, (Bůh). Chceš-li však vejíti do života, zachovávej přikázání.“"
Iz 42:3,1,Starý zákon,"Třtiny nalomené nedolomí, a lnu kouřícího se neuhasí, ale soud podlé pravdy vynášeti bude."
Mt 12:20,1,Evangelia,"třtiny nalomené nedolomí, a lnu kouřícího se neuhasí: dokud nevydá soudu k vítězství."
J 13:15,1,Evangelia,"Příklad zajisté dal sem vám, abyste jako sem já činil vám, i vy též činili."
Mt 16:13,1,Evangelia,"Přišed pak Ježíš do krajin Caesaree Filipovy, otázal se učeníků svých řka: „Kým praví lidé býti Syna člověka?“"
Ex 20:3/Dt 5:7,1,Desatero,Nebudeš míti bohů jiných přede mnou.
Mt 6:24,1,Evangelia,"Nikdo nemůže dvěma pánům sloužiti; neboť buď bude jednoho nenáviděti a druhého milovati, aneb jednoho se přidrží a druhým pohrdne. Nemůžete Bohu sloužiti a mamoně."
Mt 7:14,1,Evangelia,"Jak těsná jest brána a úzká cesta, která vede k životu, a málo jest těch, kteří ji nalézají."
2K 1:19,1,Nový zákon,"Neboť Syn Boží, Ježíš Kristus, kterého jsme mezi vámi hlásali my, totiž já a Silván a Timoteus, nestal se ano i ne, nýbrž ano bylo v něm."
Mt 7:16,1,Evangelia,"po ovocích jejich poznáte je. Zdaliž zbírají z trní hrozny, aneb z bodláčí fíky?"
Pr 4:7,1,Starý zákon,"Počátek moudrosti jest: „Získej si moudrost, a za vše jmění své zjednej si opatrnost!"""
Mt 7:1,1,Evangelia,"Nesuďtež, abyste nebyli souzeni."
L 22:48,1,Evangelia,"Ale Ježíš řekl jemu: „Jidáši, políbením zrazuješ Syna člověka?“"
L 6:16,1,Evangelia,"a Judu (bratra) Jakubova, a Jidáše iškariotského, jenž se stal zrádcem."
1Tm 2:4,1,Nový zákon,"Kterýž chce, aby všickni lidé spaseni byli, a k známosti pravdy přišli."
J 3:15,1,Evangelia,"Aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
R 2:6,1,Nový zákon,"Kterýž odplatí jednomu každému podlé skutků jeho,"
L 17:22,1,Evangelia,"I řekl ke svým učeníkům: „Přijdou dnové, kdy budete toužiti, abyste viděli jeden den Syna člověka, a neuvidíte."
J 19:11,1,Evangelia,"Ježíš odpověděl: „Neměl bys nade mnou pražádné moci, kdyby ti nebyla dána shůry. Proto větší vinu má ten, kdo ti mě vydal.“"
Iz 61:9,1,Starý zákon,"I známo bude mezi pohany plémě jejich, potomstvo jejich uprostřed národů; všichni, kteří je uzří, poznají je: „Tito jsou plémě, jemuž Hospodin žehná!"""
Mt 6:13,1,Evangelia,A neuvoď nás v pokušení. Ale zbav nás od zlého. Amen.
1Te 5:9,1,Nový zákon,"nebo nepostavil nás Bůh k hněvu, ale k nabytí spasení, skrze Pána našeho Ježíše Krista,"
