,Source,Target,Value
1113,Čech,Matt 7:3,1
1121,Čech,Luke 24:19,1
1122,Čech,Matt 28:18,1
1131,Čech,John 15:15,1
1134,Čech,John 6:57,1
1135,Čech,Mark 10:14,1
1136,Čech,Ps 94:8,1
1137,Čech,Jas 5:16,1
1140,Čech,Ps 117:19,1
1143,Čech,Luke 2:12,1
1146,Čech,Luke 2:15,1
1147,Čech,Luke 2:16,2
1151,Čech,Matt 7:5,1
1152,Čech,Rom 13:2,1
1156,Čech,Matt 18:20,1
1158,Čech,Matt 7:13,1
1159,Čech,John 7:46,1
1165,Čech,Job 19:26,2
1167,Čech,Matt 5:39,1
1172,Čech,1Sam 15:2,1
1173,Čech,Lev 9:5,1
1174,Čech,Matt 22:37,2
1175,Čech,John 19:15,1
1177,Čech,Acts 2:17,1
1178,Čech,Matt 15:13,1
1179,Čech,Ps 26:11,1
1191,Čech,Jas 2:14,1
1194,Čech,Matt 4:10,1
1198,Čech,Rom 7:19,1
1203,Čech,Wis 16:24,1
1205,Čech,Mark 9:30,1
1210,Čech,1Cor 5:7,1
1212,Čech,Deut 4:19,1
1219,Čech,Rom 8:28,1
1226,Čech,1Cor 13:13,1
1235,Čech,Prov 31:10,2
1236,Čech,2Cor 6:2,1
1237,Čech,1Tim 1:1,1
1238,Čech,John 21:7,1
1242,Čech,John 18:9,1
1246,Čech,Rom 8:22,2
1251,Čech,John 8:5,1
1256,Čech,Mark 10:47,1
1257,Čech,2Cor 2:6,1
1265,Čech,1Cor 5:8,2
1268,Čech,Gen 46:27,1
1278,Čech,Matt 19:21,1
1279,Čech,Matt 19:22,1
1280,Čech,Luke 19:40,1
1282,Čech,Luke 1:37,1
1287,Čech,Matt 7:12,1
1299,Čech,2Thess 3:10,1
1305,Čech,Rev 21:3,1
1307,Čech,1Kgs 8:29,1
1308,Čech,Luke 8:12,1
1319,Čech,Acts 8:17,1
1326,Čech,John 11:26,1
1328,Čech,Deut 18:15,1
1330,Čech,Gal 5:21,1
1335,Čech,Gen 3:16,1
1336,Čech,Luke 2:35,1
1337,Čech,John 14:1,1
1340,Čech,Luke 6:36,1
1341,Čech,1Pet 3:9,1
1342,Čech,Ps 67:2,1
1345,Čech,Ezek 34:10,1
1353,Čech,1Cor 1:25,1
1354,Čech,Gen 12:4,1
1358,Čech,Luke 1:47,1
1359,Čech,John 9:32,1
1365,Čech,John 20:19,1
1367,Čech,Exod 20:16/Deut 5:20,1
1376,Čech,Gen 40:14,1
1385,Čech,Ezra 9:14,1
1399,Čech,2Macc 14:26,1
1403,Československý zemědělec,1Cor 8:8,1
1404,Československý zemědělec,Matt 20:16,3
1406,Československý zemědělec,Matt 6:11/Luke 11:3,5
1407,Československý zemědělec,Sir 51:24,1
