,size,Group,Verse text
Pr 26:27,1,Starý zákon,"Kdo (jinému) jámu kopá, (sám) do ní padá, a kdo valí kámen, bude ním zavalen."
Mt 27:25,1,Evangelia,"A odpověděv všecken lid, řekl: Krev jeho na nás, i na naše syny."
Mt 16:24,1,Evangelia,"Tehdy řekl Ježíš učedlníkům svým: Chce-li kdo za mnou přijíti, zapřiž sebe sám, a vezmi kříž svůj, a následúj mne."
Mt 13:24,1,Evangelia,"Jiné podobenství předložil jim řka: „Podobné jest království nebeské člověku, který nasel dobrého semene na poli svém;"
Mt 13:30,1,Evangelia,"Nechte ať obé spolu roste až do žně. A v čas žně dím žencům: Vytrhejte nejprv koukol a svažte jej v snopky k spálení, ale pšenici shromažďte do stodoly mé."
L 9:55,1,Evangelia,"Ale on obrátiv se, pokáral je řka: „Nevíte, čího ducha jste."
J 6:48,1,Evangelia,Jáť jsem Chléb života.
J 8:12,1,Evangelia,"Tu Ježíš mluvil k nim opět řka: „Já jsem světlo světa; kdo mě následuje, nebude choditi ve tmě, nýbrž bude míti světlo života.“"
J 11:25,1,Evangelia,"Řekl jí Ježíš: „Já jsem vzkříšení a život; kdo věří ve mne, byť i umřel, živ bude,"
L 11:23,1,Evangelia,"Kdo není se mnou, proti mně jest, a kdo neshromažďuje se mnou, rozptyluje."
Mt 12:30,1,Evangelia,"Kdož není se mnou, proti mně jest; a kdo neshromažďuje se mnou, rozptylujeť."
Mt 8:25,1,Evangelia,"I přistoupili k němu učeníci jeho a zbudili ho řkouce: „Pane, zachovej nás, hyneme.“"
J 6:56,1,Evangelia,"Kdo jí mé tělo a pije mou krev, ve mně přebývá a já v něm."
Mt 16:18,1,Evangelia,"I já pravím tobě: Ty jsi Petr (t. j. skála), a na té skále vzdělám cirkev svou, a brány pekelné jí nepřemohou."
J 20:23,1,Evangelia,"kterým odpustíte hříchy, odpouštějí se jim a kterým zadržíte, zadrženy jsou.“"
L 16:9,1,Evangelia,"I jáť pravím vám: Čiňte sobě přátely z mamony nepravosti, aby, když byste zhynuli, přijali vás do oněch věčných stanů."
Mt 22:42,1,Evangelia,„Co se vám zdá o Kristu? Čí jest syn? “Řkou jemu: „Davidův.“
Mt 6:9,1,Evangelia,"A protož vy takto se budete modliti: Otčenáš, jenž jsi na nebesích: posvěť se jméno tvé."
