,size,Group,Verse text
Luke 1:35,1,Evangelia,"A odpověděv Anjel, řekl jí: Duch svatý stoupí v tě, a moc Nejvyššího zastíní tobě: a protož i to což se z tebe Svatého narodí, slouti bude Syn Boží."
Luke 23:34,1,Evangelia,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
Acts 7:60,1,Nový zákon,"A poklek na kolena, zvolal hlasem velikým: Pane, nepokládej jim toho za hřích. A to pověděv, usnul."
Matt 10:16,1,Evangelia,"Aj já posílám vás jako ovce mezi vlky: Protož buďte opatrní, jako hadové, a sprostní jako holubice."
2Cor 6:14,1,Nový zákon,Netáhněte jha s nevěřícími. Nebo jaký jest spolek spravedlnosti s nepravostí? A jaké obcování světla s temnostmi?
Matt 4:9,1,Evangelia,"a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“"
John 13:35,1,Evangelia,"Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“"
Exod 20:2/Deut 5:6,1,Desatero,"Já jsem Hospodin Bůh tvůj, kterýž jsem tě vyvedl z země Egyptské z domu služby."
1John 5:7,1,Nový zákon,"Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;"
Matt 22:39,1,Evangelia,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
John 13:34,1,Evangelia,"Přikázání nové dávám vám, abyste se milovali vespolek; jako jsem já miloval vás, abyste se i vy milovali vespolek."
Titus 1:2,1,Nový zákon,"k naději v život věčný, který zaslíbil neklamný Bůh před věčnými časy, -"
Matt 25:43,1,Evangelia,"hostem jsem byl a nepřijali jste mne, nah jsem byl a nepřioděli jste mne, nemocen a v žaláři jsem byl a nenavštívili jste mne.‘"
John 10:11,1,Evangelia,Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.
Luke 15:19,1,Evangelia,již nejsem hoden slouti synem tvým. Učiň mne jako jednoho ze svých dělníků.‘
Luke 2:14,1,Evangelia,"Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle."
Acts 9:4,1,Nový zákon,"a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“"
1Kgs 12:4,1,Starý zákon,"Otec tvůj ztížil jho naše; protož nyní polehč služby otce svého tvrdé a břemena jeho těžkého, kteréž vzložil na nás, a budeme tobě sloužiti."
2Chr 10:4,1,Starý zákon,"Otec tvůj stížil jho naše, protož nyní polehč služby otce svého tvrdé a břemene jeho těžkého, kteréž vložil na nás, a budeme tobě sloužiti."
Gen 2:9,1,Starý zákon,"A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého."
Exod 20:5,1,Desatero,"Nebudeš se jim klaněti, aniž (jich) ctíti; jáť jsem Hospodin, Bůh tvůj silný a řevnivý, jenž do třetího a čtvrtého kolena stíhá syny za nepravosti těch otců, kteří mne nenávidí,"
Joel 1:14,1,Starý zákon,"Uložte půst, svolejte shromáždění, shromažďte starší i všecky obyvatele země do domu Hospodina Boha vašeho, a volejte k Hospodinu:"
Acts 5:29,1,Nový zákon,Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.
John 8:32,1,Evangelia,"a poznáte pravdu, a pravda vás osvobodí.“"
Sir 34:9,1,Deuterokanonické knihy,"Kdo není zkušen co umí? Muž v mnohých věcechzkušený, mnohé věci přemejšleti bude: a kdo mnohé věci se naučil, vypravovati bude rozum."
Matt 4:11,1,Evangelia,"Tedy opustil ho ďábel, a aj, andělé přistoupili a sloužili jemu."
Matt 4:4,1,Evangelia,Kterýž odpovídaje řekl: Psáno-ť jest: Ne samým chlebem živ jest člověk: ale každým slovem kteréž vychází z ust Božích.
Matt 4:3,1,Evangelia,"A přistoupiv k němu pokušitel, řekl: Jsi-li Syn Boží, rciž, ať kamení toto chlebové jsou."
Luke 4:12,1,Evangelia,„A Ježíš mu odpověděl: „Jest řečeno: Nebudeš pokoušeti Pána Boha svého.“
Matt 4:7,1,Evangelia,I řekl mu Ježíš: Zase psáno jest: Nebudeš pokoušeti Pána Boha svého.
Gal 3:10,1,Nový zákon,"Všichni zajisté, kteří jsou ze skutků zákona, jsou pod zlořečenstvím, neboť jest psáno: „Zlořečen (jest) každý, kdo nesetrvá ve všem, co jest psáno v knize zákona, aby to činil.“"
John 4:23,1,Evangelia,"Ale jdeť hodina, a nyníť jest, kdyžto praví modlitebníci modliti se budou Otci v duchu a v pravdě. Neboť takových Otec hledá, aby se modlili jemu."
John 4:24,1,Evangelia,"Bůh duch jest, a ti, kteříž se jemu modlí, v duchu a v pravdě musejí se modliti."
Luke 19:46,1,Evangelia,"řka jim: „Psáno jest: Dům můj jest dům modlitby, vy však jste jej učinili peleší lotrovskou.“"
Luke 11:43,1,Evangelia,"Běda vám farizeům, nebo milujete první stolice v školách, a pozdravování na rynku."
Eph 6:13,1,Nový zákon,"Proto vezměte plnou zbroj Boží, abyste mohli odolati v den zlý a vykonajíce všecko státi (vítězně)."
Eph 6:16,1,Nový zákon,"vezmouce ke všemu tomu štít víry, kterým byste mohli uhasiti všecky ohnivé šípy nešlechetníkovy,"
Ps 143:3,1,Starý zákon,"Nebo stihá nepřítel duši mou, potírá až k zemi život můj; na to mne přivodí, abych bydlil v mrákotě, jako ti, kteříž již dávno zemřeli,"
Ps 28:9,1,Starý zákon,"Spas lid svůj, Hospodine, a požehnej dědictví svému, a pas je, i vyvyš je až na věky."
Matt 11:28,1,Evangelia,"„Pojďte ke mně všichni, kteří těžce pracujete a jste přetíženi, a já vám dám odpočinek."
Luke 9:35,1,Evangelia,"A hlas přišel z oblaku řkoucí: „Tento jest Syn můj milý, toho poslouchejte.“"
2Pet 1:17,1,Nový zákon,"Obdržel zajisté od Boha Otce čest i slávu, když se stal k němu takovýto hlas od velikolepé slávy: „Tento jest Syn můj milý, v němž jsem si zalíbil. (Jeho poslouchejte.“)"
Luke 6:38,1,Evangelia,"Dávejte a bude vám dáno; míru dobrou a natlačenou a natřesenou a vrchovatou dají do klína vašeho; neboť jakou měrou měříte, takovou bude vám odměřeno.“"
Luke 18:10,1,Evangelia,"„Dva lidé vstoupili do chrámu, aby se modlili, jeden fariseus a druhý celník."
Luke 18:11,1,Evangelia,"Fariseus postaviv se modlil se sám u sebe takto: ,Bože, děkuji tobě, že nejsem jako jiní lidé, lupiči, nespravedliví, cizoložnici, aneb jako i tento celník."
Num 15:28,1,Starý zákon,"I očistí kněz duši pobloudilou, kteráž zhřešila poblouzením před Hospodinem; očistí ji, a budeť jí odpuštěno."
Matt 23:12,1,Evangelia,"Kdo se povyšuje, bývá ponížen, kdo se ponižuje, bývá povýšen."
1Cor 9:27,1,Nový zákon,"27.ale tresci tělo své, a v služebnost podrobuji: abych snad sám ješto sem jiným kázal, zavrženým nebyl učiněn."
Matt 6:12,1,Evangelia,"A odpusť nám naše viny, jakož i my odpouštíme naším viníkům."
Matt 6:11/Luke 11:3,1,Evangelia,Chléb náš vezdejší dej nám dnes.
Exod 20:15/Deut 5:19,1,Desatero,Nepokradeš.
Luke 18:31,1,Evangelia,"Potom Ježíš pojav k sobě dvanácte, řekl jim: „Hle vstupujeme do Jerusalema, a dokoná se tam všecko, co psáno jest skrze proroky o Synu člověka;"
Luke 18:34,1,Evangelia,"A oni tomu nic nesrozuměli, a bylo slovo to skryto před nimi, a nesrozuměli, co se pravilo."
