,size,Group,Verse text
Luke 1:42,1,3-5,"I zvolala hlasem velikým a řekla: Požehnaná ty mezi ženami, a požehnaný plod života tvého."
Luke 2:30,1,3-5,"neboť viděly oči mé spásu tvou,"
John 14:9,1,3-5,"Ježíš řekl jemu: „Tak dlouhý čas jsem s vámi, a nepoznali jste mne, Filipe? Kdo vidí mne, vidí i Otce. Kterak ty pravíš: ,Ukaž nám Otce?‘"
John 16:16,1,3-5,"„Maličko, a již neuzříte mne, a opět maličko, a uzříte mě, poněvadž jdu k Otci.“"
Rom 13:1,1,3-5,"Každá duše vrchnostem poddána buď. Neboť není vrchnosti, jediné od Boha, a kteréž vrchnosti jsou, od Boha zřízené jsou."
1Cor 13:2,1,3-5,"A bychť měl proroctví, a povědom byl všelikého tajemství i všelikého umění, a kdybych měl tak velikou víru, že bych hory přenášel, lásky pak kdybych neměl, nic nejsem."
Eph 4:4,1,11-15,"Jest jedno tělo, jeden Duch, jak jste také byli povoláni v jedné naději svého povolání; "
Exod 20:13/Deut 5:17,1,21+,Nezabiješ.
Luke 11:17,1,6-10,"Ale on znaje myšlení jejich řekl jim: „Každé království proti sobě rozdělené zpustne, a dům na dům padne."
1Cor 3:11,1,3-5,"Nebo základu jiného žádný položiti nemůž, mimo ten, kterýž položen jest, jenž jest Ježíš Kristus."
Gal 2:20,1,6-10,"S Kristem ukřižován jsem. Živť jsem pak již ne já, ale živ jest ve mně Kristus. Že pak nyní živ jsem v těle, u víře Syna Božího živ jsem, kterýž zamiloval mne, a vydal sebe samého za mne."
Mark 16:17,1,3-5,"Těch pak, kteří uvěří, budou následovati tyto zázraky: Ve jménu mém budou zlé duchy vymítati, novými jazyky mluviti,"
Matt 18:35,1,3-5,"Takť i Otec můj nebeský učiní vám, jestliže neodpustíte jeden každý bratru svému z srdcí svých provinění jejich."
John 11:34,1,6-10,"a zeptal se: „Kam jste jej položili?“ Odpověděli mu: „Pane, pojď se podívat!“"
Luke 24:26,1,6-10,"Zdaliž nemusil těch věcí trpěti Kristus, a tak vjíti do slávy své?"
Matt 11:29,1,16-20,"Vezměte jho mé na sebe a učte se ode mne, neboť jsem tichý a pokorný srdcem; a naleznete pokoj duším svým;"
Mark 10:23,1,6-10,"A pohleděv vůkol Ježíš, dí učedlníkům svým: Jak nesnadně ti, kteříž statky mají, vejdou do království Božího."
Matt 11:3,1,6-10,"Řekl jemu: Ty-li jsi ten, kterýž přijíti má, čili jiného čekati máme?"
John 1:29,1,16-20,"Druhého dne Jan uzřel Ježíše, an jde k němu; i řekl: „Ejhle Beránek Boží, který snímá hříchy světa."
Phil 4:16,1,3-5,"I když jsem byl v Tesalonice, víc než jednou jste mi poslali, čeho jsem potřeboval. "
Matt 18:7,1,6-10,"Běda světu pro pohoršení. Ačkoli musí býti, aby přicházela pohoršení, ale však běda člověku, skrze něhož přichází pohoršení."
Luke 10:16,1,11-15,"Kdož vás slyší, mne slyší; a kdo vámi pohrdá, mnou pohrdá; kdož pak mnou pohrdá, pohrdáť tím, kdož mne poslal."
Phil 1:10,1,3-5,"byste schvalovali věci lepší, (a to k tomu konci), abyste byli čisti a nepohoršivi ke dni Kristovu,"
Ps 25:6,1,3-5,"Rozpomeň se na slitování svá, Hospodine, a na milosrdenství svá, kteráž jsou od věků."
John 17:5,1,3-5,"A nyní oslaviž ty mne, Otče, u sebe samého touž slavou, kterouž jsem měl u tebe, prvé nežli svět byl."
1Cor 15:20,1,11-15,"Ale Kristus vstal z mrtvých, jako první ze zesnulých. "
Matt 19:12,1,3-5,"Jsouť zajisté panicové, kteříž se tak z života matky zrodili; a jsouť panicové, kteříž učiněni jsou od lidí; a jsouť panicové, kteříž se sami v panictví oddali pro království nebeské. Kdo může pochopiti, pochop."
Matt 6:10,1,21+,"Přiď Království tvé. Buď vůle tvá, jako v Nebi, tak i na zemi."
Mark 2:5,1,6-10,"A Ježíš vida víru jejich, řekl ochrnulému: „Synu, odpouštějí se tobě hříchové tvoji.“"
Ps 51:3,1,6-10,"Smiluj se nade mnou, Bože, podlé milosrdenství svého, podlé množství slitování svých shlaď přestoupení má."
Ps 50:3,1,6-10,"Smiluj se nade mnou, Bože, podle velkého milosrdenství svého, a podle množství svých slitování zahlaď nepravost mou."
Matt 28:19,1,6-10,"Jděte tedy, získávejte všecky národy za učedníky, křtěte je ve jméno Otce i Syna i Ducha svatého,"
John 2:4,1,3-5,I dí jí ježíš: Co mně o tobě jest ženo? ještě nepřišla hodina má.
Gen 13:8,1,3-5,"Řekl tedy Abram k Lotovi: Prosím, nechť není sváru mezi mnou, a tebou, a mezi pastýři mými, a pastýři tvými: nebo bratří jsme."
1Pet 3:18,1,11-15,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
Rom 4:21,1,6-10,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
Luke 3:6,1,3-5,a uzři všeliké tělo spaní Boží.
John 13:1,1,6-10,"Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval."
1Sam 10:24,1,3-5,"I řekl Samuel všemu lidu: Vidíte-li, koho vyvolil Hospodin, žeť mu není podobného ve všem lidu? Protož zkřikl všecken lid, a řekli: Živ buď král!"
2Sam 16:18,1,3-5,"Chusaj Absalomovi odpověděl: „Nikoli, neboť toho budu a s tím zůstanu, koho vyvolil Hospodin, veškeren tento lid i všecek Israel."
Matt 13:25,1,6-10,"a když lidé spali, přišel jeho nepřítel, nasel koukole mezi pšenici a odešel."
Matt 9:18,1,3-5,"Když k nim ještě mluvil, hle, přišel jeden z předních mužů, poklonil se mu a řekl: „Má dcera právě zemřela; přijď, vlož na ni ruku, a bude živa.“ "
Mark 10:9,1,6-10,"Nuže, co Bůh spojil, člověk nerozlučuj.“"
