,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
612,Lv 27:3,21,0,0,0
613,Ex 34:4,2,2,2,0
614,Tob 8:17,35,0,0,0
615,Fp 1:10,4,4,4,0
616,Z 25:6,4,4,4,1
617,1S 15:2,6,3,3,0
618,Ex 3:16,2,0,0,0
619,Dt 3:5,14,0,0,0
620,1Pa 5:23,24,0,0,0
621,J 17:1,4,4,2,0
622,R 6:9,6,6,0,0
623,1K 15:12,10,10,1,0
624,1K 15:20,15,14,14,3
625,Sk 1:8,14,1,1,0
626,Mt 19:12,4,4,4,0
627,Mt 12:45,30,30,30,29
628,2S 16:5,5,0,0,0
629,2S 20:1,36,0,0,0
630,Zd 12:27,14,0,0,0
631,Mt 6:10,37,37,34,0
632,Gn 25:6,108,0,0,0
633,Mt 9:5,15,15,4,0
634,Mt 9:8,2,2,2,0
635,Mt 15:22,14,14,0,0
636,Z 51:3,11,11,7,0
637,Z 30:10,14,0,0,0
638,Z 50:3,12,12,9,0
639,Z 56:2,18,18,3,0
640,L 18:38,37,2,2,0
641,L 18:39,46,4,0,0
642,Mk 10:47,37,37,2,0
643,Mk 10:48,37,37,18,0
644,Sk 4:21,10,0,0,0
645,Jk 4:6,4,4,3,0
646,1J 5:1,2,1,0,0
647,Sk 18:5,1,1,0,0
648,Sk 18:28,1,1,0,0
649,1J 2:22,1,1,0,0
650,J 20:30,2,2,2,1
651,J 21:25,2,1,1,0
652,Zj 22:19,1,1,0,0
653,L 13:11,1,1,1,0
654,L 14:5,1,1,1,0
655,Mt 5:12,100,1,1,0
656,2S 10:14,24,0,0,0
657,Za 9:9,2,2,2,0
658,Zj 19:16,2,2,2,1
659,1Tm 6:15,4,4,3,0
660,Zj 11:15,2,2,2,0
661,1S 17:55,9,0,0,0
662,Sk 4:12,1,1,1,0
663,L 19:14,1,1,1,0
664,J 2:4,5,5,5,0
665,J 13:1,12,7,6,0
666,Jr 32:24,4,0,0,0
667,Gn 27:40,1,1,1,0
668,J 8:44,3,3,2,0
