,size,Group,Verse text
Matt 19:12,1,3-5,"Jsouť zajisté panicové, kteříž se tak z života matky zrodili; a jsouť panicové, kteříž učiněni jsou od lidí; a jsouť panicové, kteříž se sami v panictví oddali pro království nebeské. Kdo může pochopiti, pochop."
Matt 12:45,1,20+,"Tehdy jde,"
Matt 6:10,1,20+,"Přiď Království tvé. Buď vůle tvá, jako v Nebi, tak i na zemi."
Mark 2:5,1,6-10,"A Ježíš vida víru jejich, řekl ochrnulému: „Synu, odpouštějí se tobě hříchové tvoji.“"
Ps 51:3,1,6-10,"Smiluj se nade mnou, Bože, podlé milosrdenství svého, podlé množství slitování svých shlaď přestoupení má."
Ps 50:3,1,6-10,"Smiluj se nade mnou, Bože, podle velkého milosrdenství svého, a podle množství svých slitování zahlaď nepravost mou."
Matt 28:19,1,6-10,"Jděte tedy, získávejte všecky národy za učedníky, křtěte je ve jméno Otce i Syna i Ducha svatého,"
John 2:4,1,3-5,I dí jí ježíš: Co mně o tobě jest ženo? ještě nepřišla hodina má.
Gen 13:8,1,3-5,"Řekl tedy Abram k Lotovi: Prosím, nechť není sváru mezi mnou, a tebou, a mezi pastýři mými, a pastýři tvými: nebo bratří jsme."
1Pet 3:18,1,6-10,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
Rom 4:21,1,6-10,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
Luke 3:6,1,3-5,a uzři všeliké tělo spaní Boží.
John 13:1,1,3-5,"Před svátkem pak velikonočním, věda Ježíš, že přišla hodina jeho, aby šel z tohoto světa k Otci, milovav své, kteříž byli na světě, až do konce je miloval."
1Sam 10:24,1,3-5,"I řekl Samuel všemu lidu: Vidíte-li, koho vyvolil Hospodin, žeť mu není podobného ve všem lidu? Protož zkřikl všecken lid, a řekli: Živ buď král!"
2Sam 16:18,1,3-5,"Chusaj Absalomovi odpověděl: „Nikoli, neboť toho budu a s tím zůstanu, koho vyvolil Hospodin, veškeren tento lid i všecek Israel."
Matt 13:25,1,3-5,"a když lidé spali, přišel jeho nepřítel, nasel koukole mezi pšenici a odešel."
Mark 10:9,1,6-10,"Nuže, co Bůh spojil, člověk nerozlučuj.“"
Gen 3:5,1,6-10,"Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé."
John 14:6,1,20+,Ježíš řekl jemu: „Já jsem cesta a pravda a život; nikdo nepřichází k Otci leč jen skrze mne.
Matt 19:17,1,3-5,"On pak řekl jemu: „Co se mě ptáš o dobrém? Jediný jest dobrý, (Bůh). Chceš-li však vejíti do života, zachovávej přikázání.“"
