,Source,Target,Value
869,Čech,Acts 2:3,2
874,Čech,Acts 7:56,1
880,Čech,Rom 8:38,1
881,Čech,John 1:3,1
882,Čech,John 1:7,1
883,Čech,Gen 49:10,1
887,Čech,Luke 18:20,3
890,Čech,Luke 9:7,1
892,Čech,John 14:2,1
894,Čech,Mark 9:2,1
900,Čech,Mic 1:2,1
903,Čech,Matt 11:25,2
906,Čech,Matt 26:49,1
907,Čech,Exod 34:21,2
909,Čech,Matt 5:21,1
912,Čech,Titus 3:5,2
915,Čech,John 4:38,1
916,Čech,Matt 20:31,2
920,Čech,Acts 3:6,1
921,Čech,Luke 16:2,5
922,Čech,Eccl 1:2,1
923,Čech,Deut 5:21,2
924,Čech,Matt 10:39,2
925,Čech,Matt 26:52,1
927,Čech,Isa 10:1,1
936,Čech,John 6:14,1
939,Čech,Gen 1:27,2
943,Čech,Jas 1:12,1
944,Čech,Judg 21:22,3
947,Čech,Luke 5:31,1
952,Čech,Matt 7:28,1
955,Čech,1Cor 7:24,1
965,Čech,Matt 11:15/Matt 13:9,2
969,Čech,Rom 12:2,3
971,Čech,1Cor 8:8,1
973,Čech,Matt 26:34,1
978,Čech,Ps 102:2,1
980,Čech,Acts 1:3,1
983,Čech,Luke 11:9,1
984,Čech,Luke 2:7,1
985,Čech,Matt 22:14,1
987,Čech,Isa 7:23,1
990,Čech,Matt 27:64,1
993,Čech,John 1:11,1
994,Čech,Esth 6:4,1
996,Čech,Luke 2:1,1
1004,Čech,Luke 12:4,1
1007,Čech,John 3:3,2
1008,Čech,Matt 13:37,1
1010,Čech,Luke 24:7,1
1011,Čech,Rom 1:15,1
1014,Čech,Mark 8:36,1
1017,Čech,Luke 6:25,1
1021,Čech,John 12:35,1
1023,Čech,Matt 2:20,4
1024,Čech,Matt 2:21,1
1026,Čech,Jer 51:39,1
1027,Čech,Jer 51:57,1
1029,Čech,Judg 18:26,1
1038,Čech,2Chr 9:1,1
1039,Čech,Deut 33:11,1
1040,Čech,1Sam 23:5,1
1045,Čech,Lev 19:4,1
1048,Čech,Esth 1:10,1
1052,Čech,Gal 5:22,1
1053,Čech,Dan 5:28,1
1055,Čech,Ps 3:8,1
1060,Čech,John 4:39,1
1061,Čech,1Cor 13:12,1
1062,Čech,1Cor 1:23,2
1064,Čech,Luke 14:10,1
1065,Čech,Mark 8:3,2
1070,Čech,Luke 14:14,1
1071,Čech,Matt 26:26,1
1072,Čech,2Sam 11:16,1
1073,Čech,Heb 4:12,1
1076,Čech,Rom 8:35,1
1088,Čech,1John 3:8,1
1090,Čech,John 5:29,1
1097,Čech,Tob 2:13,1
1100,Čech,Matt 9:17,1
1104,Čech,1Cor 11:24,1
1105,Čech,John 6:70,3
1107,Čech,Matt 7:3,1
1115,Čech,Luke 24:19,1
1116,Čech,Matt 28:18,1
1125,Čech,John 15:15,1
1128,Čech,John 6:57,1
1129,Čech,Mark 10:14,1
1130,Čech,Ps 94:8,1
1131,Čech,Jas 5:16,1
1134,Čech,Ps 117:19,1
1137,Čech,Luke 2:12,1
1140,Čech,Luke 2:15,1
1141,Čech,Luke 2:16,2
1145,Čech,Matt 7:5,1
1146,Čech,Rom 13:2,1
1150,Čech,Matt 18:20,1
1152,Čech,Matt 7:13,1
1153,Čech,John 7:46,1
1159,Čech,Job 19:26,2
1161,Čech,Matt 5:39,1
1166,Čech,1Sam 15:2,1
1167,Čech,Lev 9:5,1
1168,Čech,Matt 22:37,2
1169,Čech,John 19:15,1
1171,Čech,Acts 2:17,1
1172,Čech,Matt 15:13,1
1173,Čech,Ps 26:11,1
1185,Čech,Jas 2:14,1
1188,Čech,Matt 4:10,1
1192,Čech,Rom 7:19,1
1197,Čech,Wis 16:24,1
1199,Čech,Mark 9:30,1
1204,Čech,1Cor 5:7,1
1206,Čech,Deut 4:19,1
1213,Čech,Rom 8:28,1
1220,Čech,1Cor 13:13,1
1229,Čech,Prov 31:10,2
1230,Čech,2Cor 6:2,1
1231,Čech,1Tim 1:1,1
